date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:59	200435/200435	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2002:50:59%20GMT	https://www.alphaeditorialcloud.com/auth/login	D:/Cloning/AlphaEditorial/www.alphaeditorialcloud.com/auth/login.html	(from )
21:51:00	361/361	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20Jan%202025%2002:50:59%20GMT	https://www.alphaeditorialcloud.com/robots.txt		(from )
21:51:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2013%20Jan%202025%2002:51:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Cloning/AlphaEditorial/www.googletagmanager.com/gtm.15445.delayed	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:00	6033/6033	---MCZ	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://cdn.usefathom.com/script.js	D:/Cloning/AlphaEditorial/cdn.usefathom.com/script.js	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:01	7071/7071	---M--	200	added ('OK')	image/png	etag:%220c4dff7f49d5870be178dbfe702dd442%22	https://assets-cf-production.publica.la/biblioteca-virtual-alfaomega/icons/1718981188_original.png	D:/Cloning/AlphaEditorial/assets-cf-production.publica.la/biblioteca-virtual-alfaomega/icons/1718981188_original.png	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:02	697/697	---M--	200	added ('OK')	image/png	etag:%22b785057be5708e8cad23ad0e4b73b43f%22	https://assets-cf-production.publica.la/biblioteca-virtual-alfaomega/icons/favicon-48x48.png	D:/Cloning/AlphaEditorial/assets-cf-production.publica.la/biblioteca-virtual-alfaomega/icons/favicon-48x48.png	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:02	2982/2982	---M--	200	added ('OK')	image/png	etag:%22d37e86639409938396d12fe4ce41a680%22	https://assets-cf-production.publica.la/biblioteca-virtual-alfaomega/icons/apple-touch-icon.png	D:/Cloning/AlphaEditorial/assets-cf-production.publica.la/biblioteca-virtual-alfaomega/icons/apple-touch-icon.png	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:03	55226/55226	---MCZ	200	added ('OK')	text/css	etag:W/%22eaae1a9b03ad0f424ebb39340e352905%22	https://d3qlnv4h16ekex.cloudfront.net/d35d17ee-33d8-4f77-80bd-7512b1b83c30/css/tailwind.css?id=eaae1a9b03ad0f424ebb39340e352905	D:/Cloning/AlphaEditorial/d3qlnv4h16ekex.cloudfront.net/d35d17ee-33d8-4f77-80bd-7512b1b83c30/css/tailwind977a.css	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:03	282837/282837	---MCZ	200	added ('OK')	text/css	etag:W/%220c751ae33846e1862505c72024462ce4%22	https://d3qlnv4h16ekex.cloudfront.net/d35d17ee-33d8-4f77-80bd-7512b1b83c30/css/app.css?id=bf1401f37d133a88140137b2dd81602c	D:/Cloning/AlphaEditorial/d3qlnv4h16ekex.cloudfront.net/d35d17ee-33d8-4f77-80bd-7512b1b83c30/css/appc391.css	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:03	174819/174819	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e377e741f7d57da94c0d5aed41693cd%22	https://d3qlnv4h16ekex.cloudfront.net/d35d17ee-33d8-4f77-80bd-7512b1b83c30/vendor/livewire/livewire.js?id=90730a3b0e7144480175	D:/Cloning/AlphaEditorial/d3qlnv4h16ekex.cloudfront.net/d35d17ee-33d8-4f77-80bd-7512b1b83c30/vendor/livewire/livewire4a5a.js	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:04	245020/245020	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2013%20Jan%202025%2002:51:03%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Cloning/AlphaEditorial/connect.facebook.net/en_US/fbevents.js	(from https://www.alphaeditorialcloud.com/auth/login)
21:51:04	13509/13509	---M--	200	added ('OK')	image/png	etag:%223a39bb2d666026a04e06d188e5339589%22	https://assets-cf-production.publica.la/biblioteca-virtual-alfaomega/logo/logo_1716927283.png	D:/Cloning/AlphaEditorial/assets-cf-production.publica.la/biblioteca-virtual-alfaomega/logo/logo_1716927283.png	(from https://www.alphaeditorialcloud.com/auth/login)
