date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:54	22286/22286	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2002:51:54%20GMT	https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS	D:/Cloning/Scopus/id.elsevier.com/as/authorization40ab.html	(from )
21:51:55	5329/5329	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jan%202025%2002:51:55%20GMT	https://id.elsevier.com/robots.txt		(from )
21:51:55	2736/2736	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202025%2016:55:41%20GMT	https://id.elsevier.com/assets/js/toolkit.js	D:/Cloning/Scopus/id.elsevier.com/assets/js/toolkit.js	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:55	9634/9634	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202025%2016:55:41%20GMT	https://id.elsevier.com/assets/js/showHidePassword.js	D:/Cloning/Scopus/id.elsevier.com/assets/js/showHidePassword.js	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:55	1603/1603	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Jan%202025%2011:06:18%20GMT	https://id.elsevier.com/assets/js/elsPendo.js	D:/Cloning/Scopus/id.elsevier.com/assets/js/elsPendo.js	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:56	42243/42243	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2016:55:41%20GMT	https://id.elsevier.com/assets/css/elsevier/main.min.css	D:/Cloning/Scopus/id.elsevier.com/assets/css/elsevier/main.min.css	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:56	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:51:56%20GMT	https://id.elsevier.com/assets/images/elsevier/mstile-144x144.png	D:/Cloning/Scopus/id.elsevier.com/assets/images/elsevier/mstile-144x144.png	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:57	22446/22446	---M-Z	200	added ('OK')	application/javascript	etag:0x8DD30EA7D74E94B	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	D:/Cloning/Scopus/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:57	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:51:57%20GMT	https://id.elsevier.com/assets/images/SC/scopus/page.jpg	D:/Cloning/Scopus/id.elsevier.com/assets/images/SC/scopus/page.jpg	(from https://id.elsevier.com/as/authorization.oauth2?platSite=SC%2Fscopus&ui_locales=en-US&scope=openid+profile+email+els_auth_info+els_analytics_info+urn%3Acom%3Aelsevier%3Aidp%3Apolicy%3Aproduct%3Aindv_identity&els_policy=idp_policy_indv_identity_plus&response_type=code&redirect_uri=https%3A%2F%2Fwww.scopus.com%2Fauthredirect.uri%3FtxGid%3Dda05988a58fad59eaedfe8be29e4b170&state=userLogin%7CtxId%3D2A40F22315A8F5D31B6B5BC6D106E7A0.i-0eb71afd72a950a0e%3A7&authType=SINGLE_SIGN_IN&prompt=login&client_id=SCOPUS)
21:51:59	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:51:58%20GMT	https://id.elsevier.com/assets/images/elsevier/info.png	D:/Cloning/Scopus/id.elsevier.com/assets/images/elsevier/info.png	(from https://id.elsevier.com/assets/css/elsevier/main.min.css)
