date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:40	977/977	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2002:52:40%20GMT	https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true	D:/Cloning/WOS/access.clarivate.com/login19b0.html	(from )
21:52:41	518/518	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2002:52:40%20GMT	https://access.clarivate.com/robots.txt		(from )
21:52:41	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:52:40%20GMT	http://access.clarivate.com/favicon.ico	D:/Cloning/WOS/access.clarivate.com/favicon.1.delayed	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:41	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:52:41%20GMT	http://access.clarivate.com/public/styles.29276a7c2f2290b7.css	D:/Cloning/WOS/access.clarivate.com/public/styles.29276a7c2f2290b7.css	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:41	8342/8342	---M-Z	200	added ('OK')	text/css	etag:W/%229c9-193058f1b48%22	https://access.clarivate.com:443/public/styles.29276a7c2f2290b7.css	D:/Cloning/WOS/access.clarivate.com_443/public/styles.29276a7c2f2290b7.css	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:42	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:52:41%20GMT	http://access.clarivate.com/public/runtime.bd0bac21b1983bd0.js	D:/Cloning/WOS/access.clarivate.com/public/runtime.bd0bac21b1983bd0.js	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:42	4330/4330	---M-Z	200	added ('OK')	application/javascript	etag:W/%22920-1939562a028%22	https://access.clarivate.com:443/public/runtime.bd0bac21b1983bd0.js	D:/Cloning/WOS/access.clarivate.com_443/public/runtime.bd0bac21b1983bd0.js	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:42	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:52:42%20GMT	http://access.clarivate.com/public/polyfills.d61e659a26c0d95a.js	D:/Cloning/WOS/access.clarivate.com/public/polyfills.d61e659a26c0d95a.js	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:42	102035/102035	---M-Z	200	added ('OK')	application/javascript	etag:W/%22867d-19251698d88%22	https://access.clarivate.com:443/public/polyfills.d61e659a26c0d95a.js	D:/Cloning/WOS/access.clarivate.com_443/public/polyfills.d61e659a26c0d95a.js	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:52:44	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:52:42%20GMT	http://access.clarivate.com/public/main.0d82a8050fd94caf.js	D:/Cloning/WOS/access.clarivate.com/public/main.0d82a8050fd94caf.js	(from https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
