date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:23	977/977	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2002:53:22%20GMT	https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true	D:/Cloning/WOSR/access.clarivate.com/register19b0.html	(from )
21:53:23	518/518	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2002:53:23%20GMT	https://access.clarivate.com/robots.txt		(from )
21:53:24	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:53:23%20GMT	http://access.clarivate.com/favicon.ico	D:/Cloning/WOSR/access.clarivate.com/favicon.1.delayed	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:24	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:53:24%20GMT	http://access.clarivate.com/public/styles.29276a7c2f2290b7.css	D:/Cloning/WOSR/access.clarivate.com/public/styles.29276a7c2f2290b7.css	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:24	8342/8342	---M-Z	200	added ('OK')	text/css	etag:W/%229c9-193058f1b48%22	https://access.clarivate.com:443/public/styles.29276a7c2f2290b7.css	D:/Cloning/WOSR/access.clarivate.com_443/public/styles.29276a7c2f2290b7.css	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:25	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:53:24%20GMT	http://access.clarivate.com/public/runtime.bd0bac21b1983bd0.js	D:/Cloning/WOSR/access.clarivate.com/public/runtime.bd0bac21b1983bd0.js	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:25	4330/4330	---M-Z	200	added ('OK')	application/javascript	etag:W/%22920-1939562a028%22	https://access.clarivate.com:443/public/runtime.bd0bac21b1983bd0.js	D:/Cloning/WOSR/access.clarivate.com_443/public/runtime.bd0bac21b1983bd0.js	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:25	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:53:25%20GMT	http://access.clarivate.com/public/polyfills.d61e659a26c0d95a.js	D:/Cloning/WOSR/access.clarivate.com/public/polyfills.d61e659a26c0d95a.js	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:25	102035/102035	---M-Z	200	added ('OK')	application/javascript	etag:W/%22867d-19251698d88%22	https://access.clarivate.com:443/public/polyfills.d61e659a26c0d95a.js	D:/Cloning/WOSR/access.clarivate.com_443/public/polyfills.d61e659a26c0d95a.js	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
21:53:26	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202025%2002:53:25%20GMT	http://access.clarivate.com/public/main.0d82a8050fd94caf.js	D:/Cloning/WOSR/access.clarivate.com/public/main.0d82a8050fd94caf.js	(from https://access.clarivate.com/register?app=wos&alternative=true&shibShireURL=https:%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https:%2F%2Fwww.webofknowledge.com%2F&roaming=true)
